id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
38672031,"Modern Space #2, East Downtown Austin",294920731,Katie,,78702,30.25779,-97.70473,Entire home/apt,110,1,3,2019-11-10,2.31,2,347
38672250,Master Bedroom and private Bathroom,1411717,Robbie,,78741,30.23263,-97.739,Private room,45,1,0,,,11,79
38672314,Downtown Convenience - Walkable to Zilker and ACL,72489612,Athena,,78703,30.26861,-97.7534,Entire home/apt,525,1,3,2019-11-09,2.37,2,89
38672347,Be the First to Stay in Our Newest Studio Apartment!,126263802,The Lux Haus,,78701,30.26635,-97.74903,Entire home/apt,100,1,2,2019-10-21,1.25,16,283
38672494,Enjoy our Our Newest Studio Apartment!,126263802,The Lux Haus,,78701,30.26495,-97.75025,Entire home/apt,100,1,0,,,16,284
38673412,Honky Tonk Hillcountry Haven,115063947,Bo,,78734,30.37341,-97.93086,Entire home/apt,133,1,8,2019-11-10,6.15,1,143
38674406,Green-View Cabin Retreat,267210348,Sara,,78746,30.28341,-97.78482,Entire home/apt,995,2,1,2019-10-06,0.77,1,88
38674459,Downtown/Rainey. Perfect location for SXSW!,17937989,Cristobal,,78701,30.25915,-97.73778,Entire home/apt,325,3,2,2019-11-11,2,1,359
38674492,Modern Luxury Retreat at The BlueBerry - Unit A,295496244,Property Bliss,,78723,30.29676,-97.68565,Entire home/apt,63,1,14,2019-11-11,7.64,2,13
38674574,Hipster Hideout,115426119,Victor,,78745,30.2264,-97.78349,Entire home/apt,80,1,5,2019-11-11,3.13,1,325
38674749,"Downtown Zen Garden-walk to Rainey, DT or the lake",37731086,David,,78702,30.25497,-97.73392,Entire home/apt,250,2,2,2019-11-10,2,1,73
38676082,New Eastside 2/2 Tree House with (Hidden by Airbnb) FIBER,26076223,Ali,,78702,30.27023,-97.70411,Private room,119,1,3,2019-11-10,2.57,4,270
38676471,"Private rooms + bath, easy access to all of Austin",8111216,Alicia,,78728,30.44808,-97.69037,Private room,40,1,1,2019-11-03,1,1,135
38677843,Private room w/king bed on South Congress,45104719,Clayton,,78745,30.21208,-97.7693,Private room,65,1,6,2019-11-03,3.33,1,225
38678234,Walk to ACL! House near Zilker/Barton Springs,143039320,Peter,,78704,30.25997,-97.77319,Entire home/apt,399,3,1,2019-10-14,1,1,0
38684755,New Listing! Newly Built Luxe Getaway w/ 2 Suites,109638288,TurnKey Vacation Rentals,,78721,30.27875,-97.67704,Entire home/apt,192,2,2,2019-11-10,2,68,361
38695874,Centrally Located Condo. Walk/Scoot to SoCo & ACL,295830813,Josie,,78704,30.23912,-97.76687,Entire home/apt,200,1,7,2019-11-10,3.96,1,39
38696194,Perfect for F1 - 3 BR 2 BA House Central Austin,54387002,Charles,,78704,30.23198,-97.7527,Entire home/apt,600,2,1,2019-10-14,1,1,56
38698570,*Fantastic* East-side Home - 2 miles to downtown!,34409816,Cindy,,78702,30.26346,-97.71622,Entire home/apt,199,2,5,2019-10-27,3.26,1,26
38698857,Shady Hollow Place,160527098,Ariel,,78748,30.16793,-97.85414,Entire home/apt,300,3,0,,,8,0
38698957,Charming Home One Mile to Downtown!,295860727,Victor,,78704,30.25143,-97.74006,Entire home/apt,799,3,7,2019-10-22,4.67,1,198
38701272,♫ Inviting Condo Downtown w/ Pool,52972375,Reid,,78705,30.28911,-97.75015,Entire home/apt,129,2,6,2019-11-02,3.91,8,262
38701979,EAST AUSTIN ATOMIC RANCH SHIPPING CONTAINER HOUSE,5744816,Lu,,78721,30.2774,-97.70053,Entire home/apt,99,1,7,2019-11-06,7,2,337
38702085,Enjoy gorgeous Lake Travis views from the balcony! Marina and spa nearby!,201127651,Vacasa Texas,,78734,30.37494,-97.98757,Entire home/apt,284,2,1,2019-10-10,0.86,11,360
38703287,Small Space but Zilker/Greenbelt Access (!!!),67272317,Mack,,78746,30.2604,-97.78796,Entire home/apt,150,2,4,2019-11-10,3.08,2,5
38703399,"The Zilker House - Walk to ACL, Barton Springs",28057158,April & Jake,,78704,30.25627,-97.7698,Entire home/apt,650,2,2,2019-10-13,1.54,3,57
38703552,PERFECT Austin Vacation Apt! 1 Mile to Downtown!,260827584,Jaison,,78705,30.29137,-97.74541,Entire home/apt,499,1,3,2019-10-13,2.31,23,134
38704430,Clean and cozy place for short term stay.,90495850,Jenny,,78746,30.30748,-97.79668,Entire home/apt,165,2,0,,,1,0
38705483,The Chateau at Austin,194594388,Jessica,,78744,30.17218,-97.76103,Private room,150,2,0,,,1,90
38718339,5 Minute Walk to ACL!,133751053,Sam,,78704,30.26067,-97.77305,Entire home/apt,500,2,0,,,1,7
38723815,Guest Room in PRIME ATX Location,129636440,Chelsea,,78741,30.2252,-97.74112,Private room,75,1,0,,,2,137
38724103,The Cozy Hygge Home - Close to Airport,37484355,Allison,,78725,30.21511,-97.63324,Private room,30,1,0,,,2,143
38724154,Tiny Home Retreat-Pool/Orchard/Fresh Eggs/56 Acres,28477574,Scott,,78737,30.20042,-97.93843,Entire home/apt,99,1,4,2019-10-13,2.61,1,96
38726612,Centrally located apartment! 10min from downtown.,136592549,John,,78746,30.25813,-97.78981,Entire home/apt,200,2,1,2019-10-07,0.79,1,89
38726944,Treemont Retreat - STAY HERE! New home! WalkerVR TREEMONT RETREAT *Free Grocery Delivery!*,15864252,Walker Luxury Vacation,,78746,30.26566,-97.79824,Entire home/apt,827,2,0,,,13,92
38727516,Cozy 1 bedroom in SOCO area. Perfect for tourists!,42944444,Valentina,,78745,30.19176,-97.77662,Entire home/apt,55,2,3,2019-11-10,2.81,1,364
38727828,Ideal private home for SXSW,140233167,Michael,,78702,30.25656,-97.73648,Entire home/apt,795,4,0,,,1,84
38728146,Private Room w/ Air Mattress(<15 min from Zilker),292408592,Brian,,78744,30.18763,-97.76539,Private room,50,1,5,2019-10-20,2.83,1,0
38728695,Golden Good Vibes,120962800,Tabitha,,78747,30.15371,-97.7417,Entire home/apt,450,1,0,,,1,0
38728874,"The Zilker Guesthouse - Walk 2 ACL, Barton Springs",28057158,April & Jake,,78704,30.2569,-97.76765,Entire home/apt,250,2,2,2019-10-13,1.54,3,56
38729238,The heart of north Austin very close to the domain,38324625,Sameea,,78758,30.40966,-97.69894,Private room,40,1,0,,,1,176
38729585,Clifton Cottage: an urban oasis,674867,Brittani,,78704,30.24163,-97.74998,Entire home/apt,129,1,12,2019-11-10,10.59,1,172
38732110,Pool view condo,162843252,Valery,,78741,30.23253,-97.73439,Entire home/apt,92,1,1,2019-09-19,0.54,1,11
38732317,Comfortable house 10 mins from Zilker Park!,266818493,Dylan,,78735,30.25457,-97.83468,Private room,43,1,11,2019-11-10,6.11,1,354
38734619,House Bohéme • 5 min to DT w/ Parking,283540160,Shelby,,78702,30.25793,-97.70424,Entire home/apt,75,1,2,2019-11-10,2,4,356
